season,position,roster_min,roster_max,starters_min,starters_max,iop_starters_total,starters_count_total,idp_starters_total
2018,CB,,,2,4,,21,12
2018,DE,,,2,3,,21,12
2018,DT,,,1,3,,21,12
2018,LB,,,2,5,,21,12
2018,PK,,,1,1,,21,12
2018,PN,,,1,1,,21,12
2018,QB,,,1,1,,21,12
2018,RB,,,1,3,,21,12
2018,S,,,2,4,,21,12
2018,TE,,,1,3,,21,12
2018,WR,,,2,4,,21,12
2019,CB,,,2,4,7.0,21,12
2019,DE,,,2,3,7.0,21,12
2019,DT,,,1,3,7.0,21,12
2019,LB,,,2,5,7.0,21,12
2019,PK,,,1,1,7.0,21,12
2019,PN,,,1,1,7.0,21,12
2019,QB,,,1,1,7.0,21,12
2019,RB,,,1,3,7.0,21,12
2019,S,,,2,4,7.0,21,12
2019,TE,,,1,3,7.0,21,12
2019,WR,,,2,4,7.0,21,12
2020,CB,,,2,4,7.0,21,12
2020,DE,,,2,3,7.0,21,12
2020,DT,,,1,3,7.0,21,12
2020,LB,,,2,5,7.0,21,12
2020,PK,,,1,1,7.0,21,12
2020,PN,,,1,1,7.0,21,12
2020,QB,,,1,1,7.0,21,12
2020,RB,,,1,3,7.0,21,12
2020,S,,,2,4,7.0,21,12
2020,TE,,,1,3,7.0,21,12
2020,WR,,,2,4,7.0,21,12
2021,CB,0.0,0.0,2,3,7.0,21,12
2021,DE,0.0,0.0,2,3,7.0,21,12
2021,DT,0.0,0.0,2,3,7.0,21,12
2021,LB,0.0,0.0,1,3,7.0,21,12
2021,PK,0.0,0.0,1,1,7.0,21,12
2021,PN,0.0,0.0,1,1,7.0,21,12
2021,QB,0.0,0.0,1,1,7.0,21,12
2021,RB,0.0,0.0,1,2,7.0,21,12
2021,S,0.0,0.0,2,3,7.0,21,12
2021,TE,0.0,0.0,1,2,7.0,21,12
2021,WR,0.0,0.0,3,4,7.0,21,12
2022,CB,0.0,0.0,2,3,7.0,21,12
2022,DE,0.0,0.0,2,3,7.0,21,12
2022,DT,0.0,0.0,2,3,7.0,21,12
2022,LB,0.0,0.0,1,3,7.0,21,12
2022,PK,0.0,0.0,1,1,7.0,21,12
2022,PN,0.0,0.0,1,1,7.0,21,12
2022,QB,0.0,0.0,1,1,7.0,21,12
2022,RB,0.0,0.0,1,2,7.0,21,12
2022,S,0.0,0.0,2,3,7.0,21,12
2022,TE,0.0,0.0,1,2,7.0,21,12
2022,WR,0.0,0.0,2,4,7.0,21,12
2023,CB,0.0,0.0,2,3,7.0,21,12
2023,DE,0.0,0.0,2,3,7.0,21,12
2023,DT,0.0,0.0,2,3,7.0,21,12
2023,LB,0.0,0.0,1,3,7.0,21,12
2023,PK,0.0,0.0,1,1,7.0,21,12
2023,PN,0.0,0.0,1,1,7.0,21,12
2023,QB,0.0,0.0,1,1,7.0,21,12
2023,RB,0.0,0.0,1,2,7.0,21,12
2023,S,0.0,0.0,2,3,7.0,21,12
2023,TE,0.0,0.0,1,2,7.0,21,12
2023,WR,0.0,0.0,2,4,7.0,21,12
2024,CB,0.0,0.0,2,4,7.0,21,12
2024,DE,0.0,0.0,2,3,7.0,21,12
2024,DT,0.0,0.0,2,3,7.0,21,12
2024,LB,0.0,0.0,2,3,7.0,21,12
2024,PK,0.0,0.0,1,1,7.0,21,12
2024,PN,0.0,0.0,1,1,7.0,21,12
2024,QB,0.0,0.0,1,1,7.0,21,12
2024,RB,0.0,0.0,1,2,7.0,21,12
2024,S,0.0,0.0,2,3,7.0,21,12
2024,TE,0.0,0.0,1,2,7.0,21,12
2024,WR,0.0,0.0,2,4,7.0,21,12
2025,CB,0.0,0.0,2,4,7.0,21,12
2025,DE,0.0,0.0,2,3,7.0,21,12
2025,DT,0.0,0.0,2,3,7.0,21,12
2025,LB,0.0,0.0,1,3,7.0,21,12
2025,PK,0.0,0.0,1,1,7.0,21,12
2025,PN,0.0,0.0,1,1,7.0,21,12
2025,QB,0.0,0.0,1,1,7.0,21,12
2025,RB,0.0,0.0,1,2,7.0,21,12
2025,S,0.0,0.0,2,3,7.0,21,12
2025,TE,0.0,0.0,1,2,7.0,21,12
2025,WR,0.0,0.0,2,4,7.0,21,12
